Time_sec,ECG_mV
0,1.0621
0.0039063,0.91545
0.0078125,0.84301
0.011719,0.80213
0.015625,0.80529
0.019531,0.89057
0.023438,0.98816
0.027344,1.0812
0.03125,1.1848
0.035156,1.2267
0.039063,1.2275
0.042969,1.2323
0.046875,1.2228
0.050781,1.2129
0.054688,1.2227
0.058594,1.2174
0.0625,1.2092
0.066406,1.2057
0.070313,1.211
0.074219,1.2031
0.078125,1.1894
0.082031,1.1871
0.085938,1.1821
0.089844,1.2001
0.09375,1.1949
0.097656,1.1952
0.10156,1.2013
0.10547,1.1999
0.10938,1.1869
0.11328,1.1602
0.11719,1.1665
0.12109,1.1831
0.125,1.1891
0.12891,1.1809
0.13281,1.1822
0.13672,1.1841
0.14063,1.1628
0.14453,1.1525
0.14844,1.14
0.15234,1.1779
0.15625,1.1957
0.16016,1.1888
0.16406,1.19
0.16797,1.2088
0.17188,1.2286
0.17578,1.2326
0.17969,1.2474
0.18359,1.2766
0.1875,1.281
0.19141,1.2914
0.19531,1.3036
0.19922,1.3135
0.20313,1.3393
0.20703,1.3672
0.21094,1.3733
0.21484,1.3859
0.21875,1.4077
0.22266,1.3885
0.22656,1.3718
0.23047,1.3666
0.23438,1.3772
0.23828,1.3863
0.24219,1.3696
0.24609,1.3566
0.25,1.3515
0.25391,1.3372
0.25781,1.2978
0.26172,1.2599
0.26563,1.2245
0.26953,1.1457
0.27344,1.0833
0.27734,1.0364
0.28125,0.97528
0.28516,0.91661
0.28906,0.86563
0.29297,0.84461
0.29688,0.80157
0.30078,0.74183
0.30469,0.72886
0.30859,0.67713
0.3125,0.6822
0.31641,0.70209
0.32031,0.68494
0.32422,0.63026
0.32813,0.60577
0.33203,0.61658
0.33594,0.64776
0.33984,0.62879
0.34375,0.58194
0.34766,0.56008
0.35156,0.55838
0.35547,0.58038
0.35938,0.57039
0.36328,0.58791
0.36719,0.58398
0.37109,0.57317
0.375,0.54724
0.37891,0.51464
0.38281,0.50213
0.38672,0.49225
0.39063,0.51249
0.39453,0.49179
0.39844,0.49882
0.40234,0.48664
0.40625,0.48704
0.41016,0.47601
0.41406,0.48116
0.41797,0.48174
0.42188,0.44514
0.42578,0.44767
0.42969,0.47266
0.43359,0.45109
0.4375,0.4548
0.44141,0.46187
0.44531,0.48534
0.44922,0.48728
0.45313,0.48075
0.45703,0.47086
